"baseline_design","n_processes","mean_length","beta_true","comparator","metric","mean_advantage","standard_error","ci_lower","ci_upper","win_rate"
"unequal",100,8,0.25,"Dual-clock model","departure_brier",0.000368021091797187,4.72131162561183e-05,0.000275483383935195,0.000460558799659179,0.643333333333333
"unequal",100,8,0.25,"Dual-clock model","full_logloss",0.000899488234906206,0.000113179576737876,0.00067765626449997,0.00112132020531244,0.666666666666667
"unequal",100,8,0.25,"Dual-clock model","full_brier",0.00047282577335048,6.02415643280672e-05,0.000354752307267468,0.000590899239433491,0.656666666666667
"common",184,8,0.25,"Dual-clock model","departure_logloss",0.000359437732723505,4.87288468153889e-05,0.000263929192965343,0.000454946272481667,0.693333333333333
"common",184,8,0.25,"Dual-clock model","departure_brier",0.000153498199905597,2.08582852788732e-05,0.000112615960759006,0.000194380439052189,0.693333333333333
"common",184,8,0.25,"Dual-clock model","full_logloss",0.000359437732723507,4.87288468153889e-05,0.000263929192965344,0.000454946272481669,0.693333333333333
"common",184,8,0.25,"Dual-clock model","full_brier",0.000197258526634122,2.68887882757589e-05,0.000144556501613635,0.00024996055165461,0.696666666666667
"unequal",184,8,0.25,"Dual-clock model","departure_logloss",0.000305366377200891,4.64285175183176e-05,0.000214366482864988,0.000396366271536793,0.636666666666667
"unequal",184,8,0.25,"Dual-clock model","departure_brier",0.000134830798234362,2.1140017299465e-05,9.33963643274102e-05,0.000176265232141313,0.62
"unequal",184,8,0.25,"Dual-clock model","full_logloss",0.000305366377200891,4.64285175183178e-05,0.000214366482864988,0.000396366271536794,0.636666666666667
"unequal",184,8,0.25,"Dual-clock model","full_brier",0.00017524904574824,2.70818895122318e-05,0.000122168542304265,0.000228329549192214,0.623333333333333
"common",300,8,0.25,"Dual-clock model","departure_logloss",0.000300177194065939,3.24317499792336e-05,0.000236610964106641,0.000363743424025237,0.693333333333333
"common",300,8,0.25,"Dual-clock model","departure_brier",0.000127574094225964,1.37363834879622e-05,0.000100650782589558,0.00015449740586237,0.696666666666667
"common",300,8,0.25,"Dual-clock model","full_logloss",0.000300177194065942,3.24317499792338e-05,0.000236610964106644,0.00036374342402524,0.693333333333333
"common",300,8,0.25,"Dual-clock model","full_brier",0.000165013027973876,1.78716103618745e-05,0.000129984671664602,0.00020004138428315,0.7
"unequal",300,8,0.25,"Dual-clock model","departure_logloss",0.000201688878867426,2.92601854876733e-05,0.000144338915311587,0.000259038842423266,0.633333333333333
"unequal",300,8,0.25,"Dual-clock model","departure_brier",9.03217362333818e-05,1.30516109181561e-05,6.47405788337958e-05,0.000115902893632968,0.63
"unequal",300,8,0.25,"Dual-clock model","full_logloss",0.000201688878867427,2.92601854876731e-05,0.000144338915311588,0.000259038842423266,0.633333333333333
"unequal",300,8,0.25,"Dual-clock model","full_brier",0.000113663372601798,1.65421309234838e-05,8.12407959917698e-05,0.000146085949211826,0.616666666666667
"common",500,8,0.25,"Dual-clock model","departure_logloss",0.000114651893848733,1.52352772918456e-05,8.47907503567159e-05,0.000144513037340751,0.633333333333333
"common",500,8,0.25,"Dual-clock model","departure_brier",4.90417008814795e-05,6.54914469475163e-06,3.62053772797663e-05,6.18780244831927e-05,0.63
"common",500,8,0.25,"Dual-clock model","full_logloss",0.000114651893848724,1.52352772918462e-05,8.47907503567058e-05,0.000144513037340743,0.633333333333333
"common",500,8,0.25,"Dual-clock model","full_brier",6.32321395793019e-05,8.2925520828573e-06,4.69787374969016e-05,7.94855416617022e-05,0.63
"unequal",500,8,0.25,"Dual-clock model","departure_logloss",0.000127086820569845,1.77477261503974e-05,9.23012773150657e-05,0.000161872363824624,0.633333333333333
"unequal",500,8,0.25,"Dual-clock model","departure_brier",5.8463565258097e-05,8.11778443471958e-06,4.25527077660466e-05,7.43744227501474e-05,0.62
