"baseline_design","n_processes","mean_length","beta_true","origin_stage","mean_eta_hat","eta_true","bias_eta","rmse_eta","coverage_eta"
"common",184,12,0.25,"Implementation",1.18661049909048,1.17991491149056,0.00669558759991547,0.0819949431899034,0.936666666666667
"common",184,12,0.25,"Pre-negotiation",1.18092992454716,1.17991491149056,0.00101501305659868,0.0611701019464474,0.96
"common",184,12,0.25,"Renegotiation/Other",1.21179754827923,1.17991491149056,0.0318826367886636,0.194042802394453,0.936666666666667
"common",184,12,0.25,"Substantive Comprehensive",1.19002544663389,1.17991491149056,0.0101105351433291,0.12136156761075,0.97
"common",184,12,0.25,"Substantive Partial",1.18642597483756,1.17991491149056,0.00651106334700149,0.0682152465473573,0.966666666666667
"common",184,12,0.52,"Ceasefire",1.18227695197175,1.17991491149056,0.00236204048118928,0.0789221279857962,0.943333333333333
"common",184,12,0.52,"Implementation",1.17835453444932,1.17991491149056,-0.00156037704124395,0.0844994809032788,0.933333333333333
"common",184,12,0.52,"Pre-negotiation",1.17557871448178,1.17991491149056,-0.004336197008785,0.0652247411517942,0.96
"common",184,12,0.52,"Renegotiation/Other",1.19697757235555,1.17991491149056,0.0170626608649881,0.18991715083581,0.956666666666667
"common",184,12,0.52,"Substantive Comprehensive",1.18608993113278,1.17991491149056,0.00617501964221355,0.129357929910693,0.95
